iter	Logloss
0	0.6006249892
1	0.5325051455
2	0.4794403046
3	0.443807643
4	0.4095573941
5	0.3885482782
6	0.3718406015
7	0.3532075089
8	0.342788796
9	0.3305168645
10	0.3182667859
11	0.3104097696
12	0.3026282443
13	0.2951097248
14	0.288619485
15	0.2826203158
16	0.2778413834
17	0.2728625994
18	0.266942638
19	0.2630802251
20	0.258899046
21	0.2565917801
22	0.2534175708
23	0.2492272789
24	0.2462716841
25	0.2443566034
26	0.2412392484
27	0.2379206929
28	0.2348292633
29	0.2329882863
30	0.2312730624
31	0.2279327701
32	0.2251497266
33	0.2228883733
34	0.2213785784
35	0.2197249626
36	0.2155222531
37	0.2140782982
38	0.211808017
39	0.2097900037
40	0.2086605238
41	0.2057034584
42	0.2042240685
43	0.2016126881
44	0.1992153001
45	0.1980027446
46	0.196434098
47	0.1943573514
48	0.1908572198
49	0.1891383758
50	0.1869786579
51	0.1843276608
52	0.1831447217
53	0.1816542133
54	0.1803704524
55	0.1791133946
56	0.1778139823
57	0.1749742395
58	0.1737266295
59	0.1724913482
60	0.1715222746
61	0.1693740427
62	0.167422059
63	0.1663210673
64	0.1649677437
65	0.1639119408
66	0.1606669741
67	0.159095722
68	0.1581382909
69	0.1566385191
70	0.155385767
71	0.1548515899
72	0.1533138653
73	0.1520107883
74	0.1507827565
75	0.1487888205
76	0.1481052796
77	0.1463827862
78	0.1447794271
79	0.1416556171
80	0.140678159
81	0.1397325827
82	0.1367967068
83	0.1356913412
84	0.1335845973
85	0.1325833781
86	0.1296260972
87	0.1281218938
88	0.1258917531
89	0.1206301201
90	0.1195193794
91	0.1186513441
92	0.1153388636
93	0.1129226142
94	0.1117761598
95	0.109056609
96	0.1081734552
97	0.1071399924
98	0.1058484949
99	0.1041841271
100	0.1032925982
101	0.1025160206
102	0.1015698629
103	0.1009021996
104	0.09994256617
105	0.0985972094
106	0.09800838394
107	0.09745289367
108	0.09633656404
109	0.09566382946
110	0.09512420175
111	0.0945020166
112	0.09294069086
113	0.09184244392
114	0.08948165928
115	0.08674804799
116	0.08556183365
117	0.0838831702
118	0.0821259687
119	0.0811865771
120	0.07971786815
121	0.07733128085
122	0.07558258634
123	0.0749386288
124	0.07457746157
125	0.07406123965
126	0.07250975055
127	0.07147867999
128	0.07057665051
129	0.07030855617
130	0.06954304223
131	0.06858284745
132	0.06796669916
133	0.06726789855
134	0.0662683445
135	0.06565481842
136	0.06503783692
137	0.06449695311
138	0.0642962634
139	0.06380814225
140	0.06287600962
141	0.06233455467
142	0.06203055315
143	0.0614331471
144	0.06119820384
145	0.06065957723
146	0.06006632334
147	0.05956286142
148	0.05914307305
149	0.05792547557
150	0.05698462036
151	0.0563100585
152	0.05600003839
153	0.05559558951
154	0.05453523919
155	0.05391968496
156	0.05332172834
157	0.05290302737
158	0.05247684011
159	0.05222273741
160	0.05193889016
161	0.05144287232
162	0.05090826645
163	0.05062609392
164	0.05024034454
165	0.05010948928
166	0.04973767383
167	0.04923825792
168	0.04859770649
169	0.0484278137
170	0.04819936679
171	0.0478792871
172	0.04763772927
173	0.04733852925
174	0.04712186261
175	0.04659534653
176	0.04627313069
177	0.0459441844
178	0.04559244911
179	0.04517532908
180	0.04473360703
181	0.04445733879
182	0.04412435612
183	0.0438591949
184	0.04366070164
185	0.04343021417
186	0.04304077138
187	0.04284235578
188	0.04259399957
189	0.04169623199
190	0.04120337576
191	0.04055303506
192	0.04017115508
193	0.03995641721
194	0.03982052034
195	0.03962145846
196	0.03937009574
197	0.03897140719
198	0.03860011449
199	0.03784701585
200	0.03751841999
201	0.03741446106
202	0.0371436966
203	0.03689420325
204	0.03661610379
205	0.03641601807
206	0.03621531691
207	0.03585440584
208	0.03558368802
209	0.03529133964
210	0.03511062996
211	0.03480585217
212	0.03431900754
213	0.03405956467
214	0.03385044876
215	0.0337157477
216	0.03344643104
217	0.03327181898
218	0.03298609313
219	0.03277658914
220	0.03261465814
221	0.0324070364
222	0.03217412452
223	0.03185933073
224	0.03170641158
225	0.0315107448
226	0.03132532204
227	0.03111217729
228	0.03093945168
229	0.03067027019
230	0.03065076411
231	0.03052283317
232	0.03041970885
233	0.03013840555
234	0.02971204068
235	0.02962272302
236	0.02945232671
237	0.02931359605
238	0.02922532756
239	0.02896051823
240	0.02874845837
241	0.02861912815
242	0.02849629545
243	0.02836463752
244	0.02811611538
245	0.02785742513
246	0.02777540725
247	0.02764813449
248	0.02753926955
249	0.02739464774
250	0.02729169663
251	0.02694055985
252	0.02667699868
253	0.02658877508
254	0.02630656292
255	0.026142551
256	0.02602487333
257	0.02579910032
258	0.02566208171
259	0.02556422583
260	0.02547097981
261	0.02535132827
262	0.02527777585
263	0.025214879
264	0.02510969756
265	0.0249768092
266	0.02487202102
267	0.02479659852
268	0.02467873783
269	0.024583107
270	0.02448919096
271	0.0243773207
272	0.02425434562
273	0.02413604076
274	0.02402011743
275	0.02395760231
276	0.02385804898
277	0.02377494853
278	0.02368222473
279	0.02358068519
280	0.02339174542
281	0.02332206081
282	0.02319696663
283	0.02313103546
